word,lookups,usage,book,authors
kreet,4,De kreet van mijn vrouw dat ik haar kind aan haar moest geven bleef in mijn hoofd rondzwerven. ,De getemde man,Babah Tarawally
moed,4,Hij had dagenlang moed verzameld om eindelijk op haar af te durven stappen en haar zijn liefde te verklaren. ,Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
moed,4,"Jeanne knippert met haar ogen, dat schept moed. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
moed,4,"Ik draai mij weg van hem, geef Imelda een kus: ‘Hou moed, hè.’ ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
moed,4,"Dat ik weer opnieuw zou moeten beginnen met iemand, zou moeten aftasten, dat er over en weer oordelen geveld zouden worden, ik mijn moed bij elkaar zou moeten rapen om een date voor te stellen. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
omhelzen,4,Dan omhelzen ze elkaar. ,Lieve Céline (Dutch Edition),"Bervoets, Hanna"
omhelzen,4,"Een deel van haar had overwogen naar hem toe te lopen, de stekker van de tv eruit te rukken en hem te omhelzen, maar ze verwachtte half dat een knuffel hem als een broze ijssculptuur in duizend stukjes zou laten spatten. ",Films die nergens draaien (Dutch Edition),"Goldewijk, Yorick"
omhelzen,4,"Niet zoals in de films, waar ze zeggen dat ze van elkaar houden en waar ze omhelzen en cadeautjes geven, gewoon omdat ze dat heel graag willen. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
omhelzen,4,"Natuurlijk, mannen lopen hier hand in hand en omhelzen elkaar. ",De getemde man,Babah Tarawally
onbestemd,4,"Naar Karel, denk ik onbestemd. ",Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
onbestemd,4,En Victor slaat ledematen onbestemd in het rond. ,Vele hemels boven de zevende (Dutch Edition),"Beeck, Griet Op de"
onbestemd,4,"Soms voelde ik me onbestemd, dat wel. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
onbestemd,4,Ik voel me toch altijd een beetje onbestemd na zo’n avond.’ ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
opgewekt,4,"Die hadden gehoord dat mijn moeder helende krachten had, en ze wandelden inderdaad vaak opvallend opgewekt de deur uit. ",Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
opgewekt,4,zei ik opgewekt. ,Ik weet zeker dat het liefde was (Dutch Edition),"Rij, Sanne van"
